Num;IDtree;field_name;genus.y;species.y;family;plot;subplot;x;y
14373;25_2_1_5;ba;Celtis;mildbraedii;Cannabaceae;25;2;1814,49;203,4
14374;25_2_1_7;ba;Celtis;mildbraedii;Cannabaceae;25;2;1814,2;209,5
14375;25_2_1_8;bi;Eribroma;oblongum;Malvaceae;25;2;1811,04;215,4
14376;25_2_1_9;kotibe;Nesogordonia;papaverifera;Malvaceae;25;2;1808,4;213,8
14377;25_2_10_1;loloti;Lannea;welwitschii;Anacardiaceae;25;2;1830,72;218,04
14378;25_2_10_2;cedrela;Cedrela;odorata;Meliaceae;25;2;1836,39;217,1
14379;25_2_10_3;cedrela;Cedrela;odorata;Meliaceae;25;2;1836,35;218,66
14380;25_2_10_5;samba;Triplochiton;scleroxylon;Malvaceae;25;2;1829,74;202,5
14381;25_2_10_6;samba;Triplochiton;scleroxylon;Malvaceae;25;2;1836,7;201,56
14382;25_2_10_7;fromager;Ceiba;pentandra;Malvaceae;25;2;1825;201,23
14383;25_2_10_8;bete;Mansonia;altissima;Malvaceae;25;2;1821,7;207,13
14384;25_2_10_9;cedrela;Cedrela;odorata;Meliaceae;25;2;1820,6;213,24
