Num;IDtree;field_name;genus.y;species.y;family;plot;subplot;x;y
14148;24_4_5_7;cedrela;Cedrela;odorata;Meliaceae;24;4;1414,01;190,15
14149;24_4_5_8;cedrela;Cedrela;odorata;Meliaceae;24;4;1413,95;189,9
14150;24_4_5_9;cedrela;Cedrela;odorata;Meliaceae;24;4;1407,4;180,9
14151;24_4_6_1;cedrela;Cedrela;odorata;Meliaceae;24;4;1425,52;200
14152;24_4_6_2;cedrela;Cedrela;odorata;Meliaceae;24;4;1430,2;200
14153;24_4_6_3;adaschia;Trema;orientalis;Cannabaceae;24;4;1435,52;197,12
14154;24_4_6_4;cedrela;Cedrela;odorata;Meliaceae;24;4;1433,55;180,4
14155;24_4_6_5;cedrela;Cedrela;odorata;Meliaceae;24;4;1420,8;188,65
14156;24_4_7_1;cedrela;Cedrela;odorata;Meliaceae;24;4;1422,2;165,05
14157;24_4_7_2;cedrela;Cedrela;odorata;Meliaceae;24;4;1421,27;164,35
14158;24_4_7_3;cedrela;Cedrela;odorata;Meliaceae;24;4;1421,24;161,61
14159;24_4_7_4;cedrela;Cedrela;odorata;Meliaceae;24;4;1430,55;167,36
14160;24_4_7_5;kotibe;Nesogordonia;papaverifera;Malvaceae;24;4;1429,85;167,34
14161;24_4_8_1;bete;Mansonia;altissima;Malvaceae;24;4;1432,3;149,91
14162;24_4_8_2;ba;Celtis;mildbraedii;Cannabaceae;24;4;1428,42;146,85
14163;24_4_8_3;cedrela;Cedrela;odorata;Meliaceae;24;4;1425,24;159,33
14164;24_4_9_1;samba;Triplochiton;scleroxylon;Malvaceae;24;4;1428,65;140
14165;24_4_9_10;koace.noliba;Pachystela;brevipes;Sapotaceae;24;4;1434,4;133,07
14166;24_4_9_11;meko;Hildegardia;barteri;Malvaceae;24;4;1436,6;136,35
14167;24_4_9_12;ouindo;Lasiodiscus;mildbraedii;Rhamnaceae;24;4;1436,5;132,32
14168;24_4_9_13;kotibe;Nesogordonia;papaverifera;Malvaceae;24;4;1437,1;130,3
14169;24_4_9_14;kotibe;Nesogordonia;papaverifera;Malvaceae;24;4;1434,45;130,3
14170;24_4_9_15;ouindo;Lasiodiscus;mildbraedii;Rhamnaceae;24;4;1438,1;127,23
14171;24_4_9_2;asan;Celtis;zenkeri;Cannabaceae;24;4;1427,4;137,4
14172;24_4_9_3;kotibe;Nesogordonia;papaverifera;Malvaceae;24;4;1427,2;134,65
14173;24_4_9_4;kotibe;Nesogordonia;papaverifera;Malvaceae;24;4;1424;130,91
14174;24_4_9_5;kotibe;Nesogordonia;papaverifera;Malvaceae;24;4;1422;130,91
14175;24_4_9_6;ouokouti;Aidia;genipiflora;Rubiaceae;24;4;1426,6;128,43
14176;24_4_9_7;tuibesso;Baphia;bancoensis;Fabaceae;24;4;1420,65;128,11
14177;24_4_9_8;loloti;Lannea;welwitschii;Anacardiaceae;24;4;1422,19;125,86
14178;24_4_9_9;kotibe;Nesogordonia;papaverifera;Malvaceae;24;4;1424,6;123,65
14179;25_1_1_1;cedrela;Cedrela;odorata;Meliaceae;25;1;1705,21;201,89
14180;25_1_1_2;difou;Morus;mesozygia;Moraceae;25;1;1700,15;207,5
14181;25_1_1_3;asan;Celtis;zenkeri;Cannabaceae;25;1;1700,6;209,3
